Team,Season,player_season_gp,player_season_minutes,player_season_pts,player_season_dreb,player_season_oreb,player_season_reb,player_season_asts,player_season_stl,player_season_blk,player_season_turnover,player_season_pf,player_season_fga,player_season_fgm,player_season_fta,player_season_ftm,player_season_tpa,player_season_tpm,player_career_gp,player_career_minutes,player_career_pts,player_career_dreb,player_career_oreb,player_career_reb,player_career_asts,player_career_stl,player_career_blk,player_career_turnover,player_career_pf,player_career_fga,player_career_fgm,player_career_fta,player_career_ftm,player_career_tpa,player_career_tpm
DEN,1989,39,1015,509,59,119,179,119,41,16,62,96,422,199,123,99,33,11,614,15607,7614,955,1843,2798,1783,649,305,1071,1557,6320,3015,1868,1483,323,99
DEN,1990,36,681,310,40,76,117,62,26,13,42,73,263,121,80,57,29,9,509,12402,5303,631,1397,2029,1332,448,176,759,1149,4446,2097,1286,968,427,140
DEN,1991,41,766,330,55,91,147,66,30,12,48,92,306,136,73,52,21,5,465,10524,4565,645,1399,2044,918,368,327,709,1081,3878,1823,1123,834,276,83
DEN,1992,55,1172,536,71,121,192,90,47,25,80,126,491,216,120,90,41,12,448,10281,4096,607,1385,1992,806,319,333,650,1023,3449,1554,1154,868,377,119
DEN,1993,56,1373,618,89,168,258,116,50,41,98,139,535,243,161,120,35,10,406,9811,4023,588,1327,1916,763,315,309,649,989,3378,1536,1101,812,427,138
DEN,1994,45,1229,531,73,144,218,105,39,38,79,113,435,204,141,104,50,17,575,14344,6154,796,1781,2578,1139,431,371,917,1392,5052,2340,1588,1185,806,287
DEN,1995,41,1082,444,57,125,182,88,31,31,64,96,359,168,118,88,53,18,494,12526,5511,671,1590,2262,937,342,347,769,1145,4551,2106,1417,1061,671,238
DEN,1996,40,893,342,40,85,126,95,29,12,56,85,274,124,90,70,62,23,544,13082,5389,646,1452,2098,1415,437,229,829,1225,4357,2050,1374,1053,650,234
DEN,1997,49,1111,434,52,111,163,83,34,14,63,117,351,156,129,98,62,22,400,8843,3332,466,1021,1488,589,294,144,490,961,2743,1218,975,753,427,142
DEN,1998,44,1122,468,56,108,165,104,35,22,74,107,395,172,130,97,71,25,362,9198,3730,434,1124,1558,870,271,199,552,873,3089,1362,1033,781,627,222
DEN,1999,32,859,356,40,86,126,73,31,16,49,75,313,135,87,65,60,20,429,10980,4473,529,1346,1875,1007,348,235,641,1003,3818,1677,1097,833,811,284
