Team,Season,team_o_fgm,team_o_fga,team_o_ftm,team_o_fta,team_o_oreb,team_o_dreb,team_o_reb,team_o_asts,team_o_pf,team_o_stl,team_o_to,team_o_blk,team_o_3pm,team_o_pts,team_d_fgm,team_d_fga,team_d_ftm,team_d_fta,team_d_oreb,team_d_dreb,team_d_reb,team_d_asts,team_d_pf,team_d_stl,team_d_to,team_d_blk,team_d_3pm,team_d_pts,team_pace,prev_winrate,win_rate,Class
CLE,2002,2919,6557,1545,2010,991,2461,3453,1799,1827,607,1213,453,303,7686,2990,6630,1569,2069,959,2391,3350,1934,1724,648,1096,500,447,7997,92.714741,0.359756097561,0.207317073171,2
CLE,2003,2899,6664,1515,1996,1043,2512,3555,1801,1808,604,1279,495,340,7653,3062,6732,1609,2116,930,2436,3366,1980,1673,702,1065,472,450,8184,94.1443865,0.280487804878,0.426829268293,4
CLE,2004,2886,6749,1515,2021,1118,2580,3698,1760,1803,610,1298,529,270,7557,3014,6772,1601,2104,951,2482,3433,1877,1682,718,1065,460,429,8059,94.4549565,0.317073170732,0.512195121951,5
DAL,1985,3589,7257,1809,2337,1092,2305,3397,2158,1851,577,1243,347,97,9084,3629,7241,1638,2139,1121,2408,3529,2122,2139,602,1363,423,80,8977,101.904085,0.530487804878,0.536585365854,5
DAL,1986,3595,7267,1947,2483,1077,2399,3476,2130,1764,590,1236,352,146,9284,3745,7444,1566,2064,1140,2469,3610,2247,2131,594,1309,426,94,9150,102.99306,0.536585365854,0.670731707317,6
DAL,1987,3612,7313,2099,2680,1139,2474,3613,2062,1803,646,1247,396,186,9510,3725,7596,1647,2171,1236,2427,3664,2342,2166,594,1305,422,109,9206,104.079855,0.603658536585,0.646341463415,6
DAL,1988,3503,7282,2064,2613,1280,2494,3774,2000,1803,666,1231,435,192,9263,3527,7444,1624,2125,1227,2309,3536,2272,2066,591,1280,428,147,8826,101.626074,0.658536585366,0.463414634146,4
DAL,1989,3328,7054,1882,2386,1194,2446,3640,1925,1736,612,1245,461,182,8722,3445,7344,1536,2023,1215,2366,3582,2186,1933,636,1201,411,166,8592,98.9695855,0.55487804878,0.573170731707,5
DAL,1990,3245,6874,1760,2262,1045,2408,3453,1821,1736,621,1230,437,184,8434,3355,7158,1600,2125,1186,2449,3635,2047,1850,654,1205,387,170,8480,97.7130775,0.518292682927,0.341463414634,3
DAL,1991,3245,6860,1623,2123,1013,2389,3402,1798,1786,622,1207,397,175,8289,3317,6979,1663,2228,1129,2443,3572,1993,1805,649,1191,394,176,8474,96.7664985,0.457317073171,0.268292682927,2
DAL,1992,3182,6997,1505,1992,1089,2399,3488,1725,1853,558,1194,373,230,8101,3330,6998,1761,2332,1136,2560,3696,1980,1756,686,1100,428,180,8602,96.4999695,0.30487804878,0.134146341463,1
DAL,1993,3142,7187,1514,2085,1214,2352,3566,1656,2084,592,1330,352,275,8074,3357,6917,2087,2719,1110,2685,3795,1991,1798,762,1163,488,208,9010,99.048637,0.201219512195,0.158536585366,1
DAL,1994,3109,7170,1490,2056,1252,2207,3460,1656,2154,708,1426,327,262,7971,3306,6645,2096,2784,1082,2621,3703,2008,1755,792,1350,513,241,8950,99.045974,0.146341463415,0.439024390244,4
DAL,1995,3141,7206,1536,2076,1392,2291,3684,1785,1909,673,1369,323,313,8131,3309,6745,1647,2239,1077,2441,3518,1980,1787,752,1339,504,340,8607,97.2345275,0.298780487805,0.317073170732,3
DAL,1996,3175,7386,1524,2092,1461,2406,3867,1927,1823,610,1307,345,560,8435,3405,6951,1494,2039,1070,2552,3622,1984,1883,712,1299,516,451,8755,98.0990335,0.378048780488,0.292682926829,2
DAL,1997,2968,6941,1400,1946,1224,2320,3544,1788,1817,648,1297,346,582,7920,3184,6695,1508,2035,1092,2577,3669,1886,1780,694,1316,482,504,8381,94.797428,0.30487804878,0.243902439024,2
DAL,1998,2847,6603,1341,1828,1023,2271,3295,1599,1720,650,1253,408,426,7462,3052,6644,1407,1921,1160,2536,3696,1838,1664,672,1262,403,462,7973,92.032272,0.268292682927,0.38,3
DAL,1999,2315,5393,1094,1474,826,1879,2705,1228,1354,499,937,379,312,6037,2476,5428,1094,1530,941,2081,3023,1477,1325,509,969,309,301,6348,92.051506,0.311951219512,0.487804878049,4
DAL,2000,2472,5540,1144,1480,788,1961,2749,1365,1417,472,908,354,360,6448,2520,5545,1169,1599,955,2119,3074,1487,1428,482,1008,332,322,6532,94.048981,0.433902439024,0.646341463415,6
DAL,2001,3140,6881,1479,1852,881,2507,3388,1775,1838,605,1109,454,518,8277,3081,6873,1557,2118,1159,2671,3830,1839,1830,613,1264,400,405,8125,95.700615,0.567073170732,0.69512195122,6
DAL,2002,3142,6823,1580,1974,874,2569,3444,1775,1874,599,1026,439,569,8434,3016,6772,1635,2207,1066,2611,3678,1821,1815,605,1166,378,416,8084,94.802143,0.670731707317,0.731707317073,7
DAL,2003,3180,6956,1547,1893,915,2556,3471,1824,1785,623,932,417,628,8536,3010,6769,1558,2108,1055,2640,3695,1823,1764,567,1190,347,464,8043,94.5109975,0.713414634146,0.634146341463,6
DAL,2004,3241,7106,1480,1823,1043,2541,3584,1900,1669,660,935,443,571,8535,3029,6755,1469,1996,1027,2621,3648,1859,1716,564,1218,350,505,8034,94.420902,0.682926829268,0.707317073171,7
DEN,1985,3905,7979,2108,2629,1232,2373,3605,2374,2215,802,1363,388,75,9994,3895,7563,2085,2754,1204,2682,3887,2303,2225,670,1641,567,63,9939,111.68041,0.548780487805,0.573170731707,5
DEN,1986,3790,7922,1972,2492,1277,2310,3587,2203,2158,860,1359,422,72,9625,3706,7391,1997,2670,1238,2680,3918,2130,2147,654,1742,536,62,9472,109.82485,0.603658536585,0.451219512195,4
DEN,1987,3724,7909,1952,2492,1258,2342,3601,2228,2174,790,1276,421,88,9489,3637,7373,2111,2797,1230,2726,3956,2147,2131,598,1652,468,86,9471,109.08847,0.512195121951,0.658536585366,6
DEN,1988,3757,7956,1908,2428,1228,2405,3633,2308,2083,793,1201,411,149,9571,3622,7349,2082,2704,1172,2734,3906,2180,2067,589,1585,481,113,9439,108.48022,0.55487804878,0.536585365854,5
DEN,1989,3791,8050,1831,2301,1184,2477,3662,2291,2035,821,1205,418,210,9624,3654,7420,1943,2595,1157,2806,3963,2153,1995,643,1601,497,135,9387,109.333365,0.59756097561,0.524390243902,5
DEN,1990,3764,8077,1779,2257,1187,2522,3710,2278,2067,812,1180,382,228,9536,3645,7409,1958,2600,1078,2855,3933,2104,1956,639,1555,473,160,9408,109.35524,0.530487804878,0.243902439024,2
DEN,1991,3808,8441,1731,2232,1344,2531,3875,2140,2141,835,1234,367,264,9612,3832,7648,2158,2792,1131,2956,4088,2282,1877,685,1520,493,179,10002,112.28636,0.384146341463,0.292682926829,2
DEN,1992,3581,8124,1626,2165,1435,2441,3876,1779,2109,814,1389,433,213,9002,3711,7464,2160,2790,1175,2798,3974,2151,1815,768,1460,559,190,9772,108.8362,0.268292682927,0.439024390244,4
DEN,1993,3307,7331,1655,2213,1308,2458,3766,1644,2011,712,1430,513,132,8401,3335,7090,1921,2515,1134,2517,3651,1850,1885,765,1366,548,204,8795,101.877495,0.365853658537,0.512195121951,5
DEN,1994,3254,7031,1761,2391,1185,2560,3746,1749,1982,665,1417,625,154,8423,3194,7107,1830,2433,1138,2418,3556,1817,1970,737,1292,502,215,8434,100.61277,0.475609756098,0.5,5
