Team,Season,team_o_fgm,team_o_fga,team_o_ftm,team_o_fta,team_o_oreb,team_o_dreb,team_o_reb,team_o_asts,team_o_pf,team_o_stl,team_o_to,team_o_blk,team_o_3pm,team_o_pts,team_d_fgm,team_d_fga,team_d_ftm,team_d_fta,team_d_oreb,team_d_dreb,team_d_reb,team_d_asts,team_d_pf,team_d_stl,team_d_to,team_d_blk,team_d_3pm,team_d_pts,team_pace,prev_winrate,player_season_gp,player_season_minutes,player_season_pts,player_season_dreb,player_season_oreb,player_season_reb,player_season_asts,player_season_stl,player_season_blk,player_season_turnover,player_season_pf,player_season_fga,player_season_fgm,player_season_fta,player_season_ftm,player_season_tpa,player_season_tpm,player_career_gp,player_career_minutes,player_career_pts,player_career_dreb,player_career_oreb,player_career_reb,player_career_asts,player_career_stl,player_career_blk,player_career_turnover,player_career_pf,player_career_fga,player_career_fgm,player_career_fta,player_career_ftm,player_career_tpa,player_career_tpm,coach_season_win_rate,coach_career_win_rate,win_rate,Class
CHI,1990,3489,7029,1660,2123,1046,2366,3412,2192,1880,768,1287,382,212,8851,3361,6958,1738,2291,1073,2298,3371,2104,1761,675,1333,365,198,8659,99.3005405,0.621951219512,45,1257,576,81,134,216,127,51,25,78,121,454,223,149,115,39,13,811,21231,9629,1245,2671,3916,2120,806,472,1249,1923,7668,3767,2448,1861,698,242,0.663265306122,0.72341954023,0.743902439024,7
CHI,1991,3581,7107,1635,2125,1111,2310,3422,2192,1828,818,1215,413,202,9000,3314,6851,1669,2204,1065,2229,3294,2063,1784,649,1406,365,197,8494,98.5725055,0.707317073171,47,1152,500,68,113,182,125,45,21,65,104,403,199,116,88,35,12,714,18133,7978,997,2155,3152,1916,681,371,1076,1656,6441,3146,1968,1493,582,198,0.7154710369,0.72341954023,0.817073170732,8
CHI,1992,3637,7146,1596,2121,1160,2390,3551,2245,1722,747,1136,459,146,9017,3236,6927,1539,2001,1071,2166,3238,1928,1813,632,1345,350,204,8216,97.5251155,0.780487804878,45,1114,479,75,129,205,129,41,23,60,94,380,192,115,86,25,8,637,16635,7278,961,2132,3093,1790,642,340,976,1471,5831,2852,1852,1405,506,174,0.778069153069,0.72341954023,0.69512195122,6
CHI,1993,3559,7186,1509,2042,1231,2361,3592,2206,1748,727,1095,445,191,8818,3172,6796,1554,2009,1060,2218,3278,1879,1765,613,1330,354,232,8132,96.089954,0.756097560976,45,1021,383,77,113,191,104,32,25,54,95,314,155,93,66,20,7,681,15648,5912,921,2017,2939,1499,508,341,894,1485,4835,2333,1447,1054,552,197,0.750666412795,0.72341954023,0.670731707317,6
CHI,1994,3360,7010,1370,1905,1216,2337,3553,2117,1777,761,1204,382,238,8329,3084,6582,1527,2010,1012,2252,3264,1879,1728,662,1353,365,249,7944,94.5510825,0.682926829268,41,998,456,54,107,161,112,43,19,65,86,383,180,107,80,45,15,685,15614,7033,780,1889,2670,1732,652,316,1011,1407,5762,2713,1769,1338,772,267,0.687957382695,0.72341954023,0.573170731707,5
CHI,1995,3218,6762,1405,1962,1124,2342,3467,2036,1856,768,1301,353,338,8179,2976,6470,1576,2133,1026,2246,3272,1776,1808,708,1410,371,326,7854,94.2561455,0.621951219512,39,899,352,66,126,192,88,37,18,57,90,290,136,90,65,41,14,771,18910,8380,1158,2559,3717,1892,745,438,1227,1844,6782,3229,2261,1663,767,258,0.614130434783,0.72341954023,0.878048780488,8
CHI,1996,3242,6801,1497,2034,1176,2352,3529,2001,1884,771,1236,348,493,8475,2901,6413,1553,2132,1024,2194,3218,1652,1874,641,1445,340,419,7775,93.84795,0.725609756098,43,984,413,72,125,197,93,38,18,60,94,330,158,101,74,57,21,755,19414,8820,1296,2887,4184,1900,785,493,1288,1759,7113,3453,2240,1656,766,258,0.717608695652,0.72341954023,0.841463414634,8
CHI,1997,3285,6907,1438,1926,1241,2436,3677,2087,1712,730,1142,338,533,8541,2889,6540,1364,1877,1034,2170,3205,1605,1794,609,1349,299,454,7596,92.693947,0.859756097561,44,982,411,70,113,183,99,36,16,54,89,335,156,95,71,71,26,642,15350,6629,931,2091,3023,1603,645,307,980,1407,5458,2563,1676,1250,742,251,0.850841584158,0.72341954023,0.756097560976,7
CHI,1998,3170,6862,1436,1928,1239,2449,3688,2047,1654,706,1143,342,417,8194,2847,6568,1365,1863,1052,2222,3274,1607,1753,640,1280,321,400,7460,92.054634,0.798780487805,36,669,226,40,62,103,64,26,12,32,68,194,87,56,40,34,11,420,9012,3314,446,1031,1477,873,354,206,550,914,2806,1263,853,620,490,167,0,0.283536585366,0.26,2
CHI,1999,2301,5319,1166,1597,908,1916,2824,1484,1401,566,976,261,244,6013,2260,5134,1169,1601,783,1903,2687,1347,1424,550,1025,320,268,5958,91.203098,0.508048780488,34,758,268,33,76,109,70,28,7,41,65,232,97,68,51,64,21,408,9610,3842,393,1036,1430,978,374,151,588,839,3147,1403,1019,774,726,260,0.26,0.283536585366,0.207317073171,2
